"Where can I eat kebab?", 37.0026, 35.3213
"Tourist attractions in Mersin?", 36.8000, 34.6333
"Where is the archaeology museum?", 36.2000, 36.1600
"Best beaches nearby?", 36.6050, 34.3167
"Where to shop in Adana?", 37.0042, 35.3213
"Traditional markets?", 36.2065, 36.1570
"Closest hospital?", 37.0100, 35.2950
"Where to drink Turkish coffee?", 36.8120, 34.6400
"Historic mosques in Antakya?", 36.2050, 36.1500
"Cinema halls nearby?", 37.0200, 35.3300
"Best seafood restaurants?", 36.7850, 34.6000
"Parks for families?", 37.0050, 35.3400
"Shopping malls?", 36.7900, 34.6100
"Souvenir shops in Hatay?", 36.2100, 36.1650
"Universities around?", 37.0550, 35.3550
"Best viewpoints?", 36.7700, 34.5800
"Old churches?", 36.2020, 36.1450
"Hotels near the airport?", 37.0000, 35.2800
"Nightlife spots?", 36.8050, 34.6150
"Ancient ruins?", 36.1900, 36.1700
"Where to buy clothes in Adana?", 37.0300, 35.3250
"Best cafes?", 36.9150, 34.8900
"Museums to visit?", 36.1950, 36.1550
"Main bus station?", 37.0000, 35.3100
"Best doner places?", 36.8200, 34.6400
"Local bazaars in Antakya?", 36.2080, 36.1500
"Where to find bookshops?", 37.0400, 35.3300
"Restaurants near the university?", 36.8100, 34.6000
"Historic houses?", 36.2100, 36.1400
"Kebab restaurants in Adana?", 37.0020, 35.3000
"Best patisseries?", 36.7850, 34.6200
"Wine houses?", 36.2000, 36.1300
"Traditional Turkish baths?", 37.0180, 35.3400
"Beach clubs?", 36.6000, 34.3100
"Mosaic museums in Hatay?", 36.1970, 36.1600
"City center shopping?", 37.0120, 35.3210
"Vegetarian restaurants?", 36.7950, 34.6400
"Kunefe dessert shops?", 36.2050, 36.1500
"Where to buy electronics?", 37.0250, 35.3100
"Bars and pubs?", 36.8080, 34.6350
"Old synagogues?", 36.2020, 36.1500
"Book cafes?", 37.0450, 35.3250
"Fast food near the mall?", 36.7900, 34.6100
"Handicraft shops?", 36.2070, 36.1630
"City theater in Adana?", 37.0080, 35.3300
"Where to try kunefe in Antakya?", 36.2050, 36.1450
"Beach resorts near Silifke?", 36.3800, 33.9300
"Castles around?", 37.0600, 35.3700
"Historical churches?", 36.8120, 34.6350
"Spice shops in Antakya?", 36.2060, 36.1600