"Where can I see the Bosphorus?", 41.0433, 29.0021
"Best street food near Taksim?", 41.0369, 28.9850
"Where is the Blue Mosque?", 41.0054, 28.9768
"Bookstores near Beyoğlu?", 41.0300, 28.9755
"Where can I buy electronics?", 41.0384, 28.9789
"Ferries to Asian side?", 41.0295, 28.9780
"Best fish restaurants by the water", 41.0450, 29.0100
"Historic hammams?", 41.0050, 28.9760
"Where to try baklava?", 41.0370, 28.9900
"Live music bars in Istanbul", 41.0310, 28.9820
"Closest tram stop", 41.0090, 28.9750
"Street markets in Kadıköy", 40.9910, 29.0250
"Best kebab places", 41.0200, 28.9750
"Art galleries in Karaköy", 41.0225, 28.9735
"Seafood near Beşiktaş", 41.0420, 29.0080
"Local dessert shops", 41.0105, 28.9720
"Ferry ticket office", 41.0240, 29.0000
"Where can I find antiques?", 41.0280, 28.9730
"Best rooftop cafes", 41.0330, 28.9840
"Closest hospital", 41.0180, 28.9700
"Nightclubs around Taksim", 41.0350, 28.9855
"Where to buy Turkish carpets?", 41.0095, 28.9740
"Cheap eats near Galata Tower", 41.0255, 28.9740
"Tourist information center", 41.0100, 28.9760
"Public toilets nearby", 41.0320, 28.9825
"ATM close to me", 41.0340, 28.9790
"Where to try meze?", 41.0460, 29.0100
"Closest metro station", 41.0360, 28.9870
"Shisha cafes", 41.0290, 28.9810
"Best vegan restaurants", 41.0205, 28.9780
"Open air museums", 41.0070, 28.9765
"Historic mosques besides Sultanahmet", 41.0180, 28.9620
"Where to watch the sunset?", 41.0400, 29.0050
"Book cafes in Istanbul", 41.0270, 28.9800
"Street art in Kadıköy", 40.9890, 29.0250
"Wine bars", 41.0335, 28.9870
"Where to buy spices?", 41.0125, 28.9715
"Cheap hostels", 41.0190, 28.9755
"Best brunch spots", 41.0345, 28.9805
"Closest pharmacy", 41.0305, 28.9780
"Antique shops in Çukurcuma", 41.0320, 28.9800
"Where to try Turkish delight?", 41.0100, 28.9700
"Best hotels near Hagia Sophia", 41.0080, 28.9800
"Bakery open late", 41.0350, 28.9850
"Where to rent a bike?", 41.0230, 29.0000
"Jewelry shops", 41.0260, 28.9780
"Where to eat fresh fish?", 41.0410, 29.0070
"Libraries in Istanbul", 41.0280, 28.9750
"Mosque tours", 41.0120, 28.9720
"Closest petrol station", 41.0315, 28.9880